品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
丰田, 花冠, 2013款, 1.6L, 自动豪华版,,,,2014, 2.5万公里, 到店服务,超值严选车,18.4,0,6.27
起亚, 智跑, 2015款, 2.0L, 自动两驱版GL,,,,2014, 6.4万公里, 到店服务,严选车,13.5,1,7.01
起亚, 智跑, 2014款, 2.0L, 自动两驱版GLS,,,,2014, 7.3万公里, 到店服务,超值严选车,16.9,0,7.45
马自达CX-5, 2013款, 2.0L, 手动两驱舒适型,,,,,2013, 3.6万公里, 到店服务,严选车,10.8,0,7.26
日产, 轩逸, 2009款, 1.6XE, 手动舒适版,,,,2012, 9.3万公里, 到店服务,严选车,14.1,0,3.65
别克, 威朗, 2016款, 两厢, 15S, 自动领先型,,,2016, 2.3万公里, 到店服务,超值严选车,14.4,0,7.34
哈弗H2, 2017款, 红标, 1.5T, 手动两驱豪华型,,,,2016, 2.6万公里, 到店服务,严选车,13,0,5.75
本田, 思域, 2016款, 220TURBO, 手动豪华版,,,,2017, 2.8万公里, 到店服务,严选车,15.2,0,9.86
MG6, 2013款, 掀背, 1.8T, 手动GT超值版,,,,2013, 4.3万公里, 到店服务,严选车,12.5,0,3.15
马自达3星骋, 2013款, 三厢, 1.6L, 手动精英型,,,,2013, 7.4万公里, 到店服务,严选车,19.5,0,4.2
传祺GS5, 2012款, 2.0L, 手动两驱周年限量版,,,,,2013, 4.5万公里, 到店服务,超值严选车,14.3,0,3.98
福特, 福克斯, 2011款, 两厢, 1.8L, 手动舒适型,,,2011, 7.5万公里, 到店服务,严选车,12.9,0,2.56
马自达6, 2012款, 2.0L, 自动时尚型,,,,,2012, 5.1万公里, 到店服务,严选车,11.7,0,6
大众, 高尔夫·嘉旅, 2016款, 1.6L, 手动舒适型,,,,2016, 3.9万公里, 到店服务,超值严选车,17.2,0,7.5
大众, 宝来, 2012款, 1.6L, 手动舒适型,,,,2012, 6.7万公里, 店内直卖,严选车,11.2,0,3.73
福特, 福睿斯, 2015款, 1.5L, 自动舒适型,,,,2016, 1.4万公里, 到店服务,严选车,21.2,0,5.97
起亚, 智跑, 2015款, 2.0L, 自动两驱版GL,,,,2015, 2.3万公里, 到店服务,严选车,15.9,0,8.17
日产, 骊威, 2015款, 1.6XE, CVT舒适版,,,,2016, 1.6万公里, 到店服务,严选车,16,1,5.87
雪铁龙, 爱丽舍, 2014款, 1.6L, 自动舒适型,,,,2014, 5.5万公里, 到店服务,超值严选车,14,0,3.61
雪佛兰, 迈锐宝XL, 2016款, 1.5T, 双离合锐驰版,,,,2016, 2.4万公里, 到店服务,严选车,10.1,0,10.48
大众, 宝来, 2012款, 1.4T, 自动豪华型,,,,2011, 8.2万公里, 到店服务,严选车,13.9,0,4.66
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2014, 6.0万公里, 到店服务,严选车,13,0,6.88
本田, 缤智, 2015款, 1.5L, 手动两驱舒适型,,,,2017, 4.7万公里, 到店服务,超值严选车,21,0,8.12
奇瑞, 艾瑞泽7, 2013款, 1.6L, CVT致领版,,,,2013, 8.1万公里, 到店服务,严选车,68.2,0,2.81
大众, 朗行, 2013款, 1.6L, 自动风尚型,,,,2015, 3.1万公里, 到店服务,超值严选车,7.4,0,6.72
众泰T600, 2016款, 运动版, 2.0T, 自动豪华型,,,,2016, 1.4万公里, 到店服务,严选车,10.1,0,5.56
别克, 君威, 2014款, 2.0L, 精英时尚型,,,,2014, 9.2万公里, 到店服务,超值严选车,13.5,0,7.2
路虎, 揽胜极光, 2013款, 2.0T, 5门耀动版(进口),,,,2013, 9.2万公里, 到店服务,严选车,19.7,0,18.42
本田, 思铂睿, 2015款, 2.4L, 尊贵版,,,,2016, 3.0万公里, 到店服务,严选车,16.2,1,13.53
哈弗H1, 2016款, 红标, 1.5L, AMT豪华型,,,,2016, 3.7万公里, 到店服务,准新车严选车,24.9,0,3.88
比亚迪, 速锐, 2012款, 1.5TID, 自动豪华型,,,,2013, 5.3万公里, 到店服务,严选车,13.7,0,2.99
丰田, 雷凌, 2016款, 1.6G, CVT精英版,,,,2015, 3.5万公里, 到店服务,超值严选车,8.7,0,7.71
雪佛兰, 迈锐宝, 2014款, 1.6T, 自动舒适版,,,,2014, 5.1万公里, 到店服务,超值严选车,12.4,0,7.59
MG, 锐腾, 2016款, 1.5TGI, TST豪华版,,,,2016, 6.8万公里, 到店服务,严选车,23.3,0,6.48
上汽大通, 大通G10, 2018款, PLUS, 2.0T, 自动豪华行政版,,,2018, 2.0万公里, 到店服务,严选车,16.5,0,15.18
荣威RX5, 2019款, 20T, 两驱自动4G互联铂金版,,,,,2019, 0.2万公里, 到店服务,严选车,16,1,9.86
马自达, 昂克赛拉, 2014款, 三厢, 1.5L, 自动舒适型,,,2015, 1.9万公里, 到店服务,严选车,89.6,0,7.78
奇瑞, 艾瑞泽7, 2016款, 1.5T, 手动致领版,,,,2017, 10.4万公里, 到店服务,超值严选车,23.8,0,3.44
三菱, 风迪思, 2013款, 1.8L, 手动舒适型, 国IV,,,2015, 5.5万公里, 到店服务,严选车,28.2,0,3.53
马自达3星骋, 2011款, 三厢, 1.6L, 手动舒适型,,,,2012, 6.1万公里, 到店服务,严选车,12.5,1,3.6
标致3008, 2013款, 1.6THP, 自动至尚版,,,,,2013, 6.0万公里, 到店服务,严选车,15.2,0,6.64
斯柯达, 明锐, 2016款, 1.6L, 自动智行版,,,,2016, 8.0万公里, 到店服务,超值严选车,11.8,0,6.99
斯柯达, 明锐, 2010款, 1.4TSI, 手动逸俊版,,,,2011, 7.1万公里, 到店服务,严选车,9,0,3.58
大众, 途锐, 2011款, 3.0TSI, 高配型(进口),,,,2015, 6.4万公里, 到店服务,严选车,24.9,0,31.52
大众, 帕萨特, 2011款, 1.8TSI, DSG尊荣版,,,,2014, 5.5万公里, 到店服务,严选车,25.8,0,9.67
丰田, 凯美瑞, 2016款, 双擎, 2.5HG, 十周年纪念豪华导航版,,,2016, 6.9万公里, 到店服务,超值严选车,12.4,0,16.9
日产, 骐达, 2011款, 1.6L, CVT舒适型,,,,2014, 2.2万公里, 到店服务,超值严选车,9.3,0,6.3
丰田, 卡罗拉, 2008款, 1.8L, 手动GL-i天窗特别版,,,,2010, 7.5万公里, 到店服务,严选车,13,0,3.8
斯柯达, 晶锐, 2011款, 1.6L, 自动酷黑版,,,,2011, 12.8万公里, 到店服务,严选车,18,0,3
日产, 阳光, 2011款, 1.5XE, 手动舒适版,,,,2012, 1.2万公里, 到店服务,严选车,20.6,0,3.43
马自达CX-5, 2013款, 2.5L, 自动四驱豪华型,,,,,2014, 8.2万公里, 店内直卖,严选车,16.3,0,11.45
大众, 途观, 2016款, 300TSI, 自动两驱舒适版,,,,2016, 2.8万公里, 到店服务,严选车,35.4,0,13.61
哈弗H6, 2016款, 升级版, 1.5T, 自动两驱精英型,,,,2016, 8.1万公里, 到店服务,严选车,17.7,0,5.61
大众POLO, 2011款, 劲取, 1.4L, 手动实乐版,,,,2012, 8.1万公里, 到店服务,严选车,26,0,2.57
福特, 福克斯, 2012款, 两厢, 1.6L, 手动舒适型,,,2013, 3.9万公里, 到店服务,准新车严选车,24.9,0,4.1
福特, 福克斯, 2015款, 三厢, EcoBoost,180, 自动旗舰型,,2016, 2.0万公里, 到店服务,严选车,12.6,0,8.48
雪佛兰, 科鲁兹, 2011款, 1.8L, SE, AT,,,2011, 4.7万公里, 到店服务,严选车,16.4,1,3.49
马自达3星骋, 2011款, 三厢, 1.6L, 手动舒适型,,,,2011, 13.9万公里, 到店服务,严选车,29,1,2.82
大众, 帕萨特, 2017款, 280TSI, 公务版,,,,2018, 3.4万公里, 到店服务,超值严选车,13.4,0,13.19
福特, 福克斯, 2017款, 三厢, EcoBoost,180, 自动精英型,,2017, 1.6万公里, 到店服务,严选车,12.2,0,8.3
奔驰C级, 2015款, 改款, C,180, L, 运动型,,2015, 4.3万公里, 到店服务,超值严选车,20.2,0,21.8
哈弗H7, 2017款, 红标H7, 2.0T, 自动豪华型,,,,2017, 2.0万公里, 到店服务,准新车严选车,24.9,0,9.5
别克, 君越, 2016款, 20T, 精英型,,,,2017, 2.2万公里, 到店服务,严选车,10,0,15.45
大众, 迈腾, 2019款, 330TSI, DSG, 豪华型, 国V,,2019, 0.5万公里, 到店服务,严选车,18.7,0,19.1
标致308, 2013款, 1.6L, 自动优尚型,,,,,2013, 5.2万公里, 到店服务,严选车,14.9,0,4.21
别克, 英朗, 2013款, GT, 1.6L, 自动时尚版,,,2013, 10.0万公里, 店内直卖,超值严选车,15.6,1,4.57
雪佛兰, 科鲁兹, 2011款, 1.8L, SX, AT,,,2012, 4.1万公里, 到店服务,严选车,22.8,0,4.55
本田, 奥德赛, 2013款, 2.4L, 智能版,,,,2013, 10.6万公里, 到店服务,超值严选车,10.8,0,12.15
福特, 福克斯, 2013款, 两厢经典, 1.8L, 自动时尚型,,,2013, 7.0万公里, 到店服务,严选车,11.9,0,3.8
马自达3, 2010款, 1.6L, 手动经典时尚型,,,,,2010, 6.9万公里, 到店服务,严选车,38,0,2.87
别克, 君威, 2012款, 2.0L, 舒适版,,,,2013, 5.5万公里, 到店服务,严选车,6.9,0,6.55
大众, 迈腾, 2019款, 330TSI, DSG, 豪华型, 国V,,2019, 1.6万公里, 到店服务,准新车严选车,17.4,0,17.58
别克, 凯越, 2015款, 1.5L, 自动经典型,,,,2016, 2.0万公里, 到店服务,严选车,15.2,0,5.03
大众, 高尔夫, 2016款, 1.4TSI, 自动R-Line,,,,2016, 4.2万公里, 到店服务,超值严选车,16.6,0,11.44
大众, 朗逸, 2015款, 1.6L, 自动舒适版,,,,2016, 4.0万公里, 到店服务,严选车,26.7,0,7.96
福特, 福克斯, 2012款, 两厢, 1.6L, 自动风尚型,,,2014, 7.5万公里, 到店服务,严选车,14.7,0,4.92
雪佛兰, 科帕奇, 2017款, 2.4L, 四驱旗舰版, 7座,,,2017, 2.4万公里, 到店服务,严选车,8.7,0,11.85
斯柯达, 晶锐, 2012款, 1.4L, 自动晶灵版,,,,2014, 4.1万公里, 到店服务,严选车,19.5,0,3.97
铃木, 锋驭, 2014款, 1.6L, CVT两驱精英型,,,,2015, 9.3万公里, 到店服务,严选车,19.5,1,6
标致2008, 2014款, 1.6L, 自动潮流版,,,,,2015, 5.1万公里, 到店服务,严选车,32.5,0,5.42
凯迪拉克XTS, 2013款, 28T, 舒适型,,,,,2014, 5.5万公里, 到店服务,严选车,16.3,0,14.38
丰田, 汉兰达, 2009款, 2.7L, 两驱5座运动版,,,,2011, 12.6万公里, 到店服务,严选车,13.7,1,11.33
荣威550, 2012款,550, 1.8L, 自动超值版,,,,2011, 7.0万公里, 到店服务,严选车,9.1,1,2.87
MG3, 2014款, 1.3L, 手动舒适版,,,,,2014, 4.3万公里, 到店服务,严选车,17.9,0,2.58
马自达, 昂克赛拉, 2017款, 两厢, 2.0L, 自动运动型, 国V,,2019, 0.4万公里, 到店服务,严选车,29.2,0,12.3
别克, 昂科拉, 2015款, 1.4T, 手动两驱都市进取型,,,,2015, 4.5万公里, 到店服务,严选车,19.8,0,5.84
哈弗H6, Coupe, 2015款, 蓝标, 2.0T, 自动两驱尊贵型,,,2017, 0.9万公里, 到店服务,严选车,10.8,1,9.11
日产, 逍客, 2016款, 2.0L, CVT精英版,,,,2016, 1.2万公里, 到店服务,严选车,11.5,0,10.18
雷诺, 科雷傲, 2017款, 2.5L, 四驱至尊版,,,,2017, 3.3万公里, 到店服务,严选车,13.9,0,15.28
长安CS75, 2014款, 1.8T, 自动精英型, 国IV,,,,2014, 4.2万公里, 到店服务,严选车,5.6,0,6.07
福特, 嘉年华, 2013款, 两厢, 1.5L, 手动风尚型,,,2014, 4.5万公里, 到店服务,严选车,68.2,0,3.56
现代, 途胜, 2015款, 1.6T, 双离合两驱智能型,,,,2016, 6.9万公里, 到店服务,严选车,12.4,0,10.49
大众, 朗逸, 2008款, 1.6L, 手动品悠版,,,,2010, 5.5万公里, 到店服务,严选车,9.4,1,2.58
马自达6, 2011款, 2.0L, 自动时尚型,,,,,2012, 9.7万公里, 到店服务,准新车严选车,22.8,0,5.56
斯巴鲁, 傲虎, 2014款, 2.5i, 雅尚精英版,,,,2014, 3.7万公里, 到店服务,严选车,17.9,0,13.85
福特, 福克斯, 2017款, 两厢, EcoBoost,180, 自动精英型,,2017, 1.7万公里, 到店服务,准新车严选车,13,0,8.94
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 4.5万公里, 到店服务,严选车,17.3,0,8.39
日产, 阳光, 2015款, 1.5XE, 手动大师版,,,,2016, 2.5万公里, 到店服务,严选车,11.5,0,4.28
标致408, 2011款, 2.0L, 自动豪华版,,,,,2011, 9.7万公里, 到店服务,准新车严选车,16.5,1,3.49
日产, 逍客, 2012款, 2.0XL, 火, CVT, 2WD,,2012, 8.6万公里, 到店服务,严选车,5.7,0,6.29
雪铁龙C3-XR, 2015款, 1.6L, 自动先锋型,,,,,2016, 4.2万公里, 到店服务,严选车,15.9,1,6.32
大众CC, 2015款, 1.8TSI, 豪华型,,,,,2015, 5.8万公里, 到店服务,严选车,7,0,15.45
丰田, 凯美瑞, 2013款, 200E, 经典精英版,,,,2014, 4.8万公里, 到店服务,严选车,12.3,0,9.7
东风风行, 景逸X5, 2013款, 1.8T, 手动尊享型,,,,2014, 7.6万公里, 到店服务,严选车,10.4,0,2.94
标致308, 2013款, 1.6L, 手动优尚型,,,,,2013, 5.8万公里, 到店服务,严选车,16.5,0,3.52
Smart, smart, fortwo, 2012款,1, MHD, 硬顶舒适版,,2014, 2.0万公里, 到店服务,严选车,19.5,0,6.04
五菱宏光, 2015款, 1.5L, S基本型, 国IV,,,,2015, 11.8万公里, 到店服务,严选车,9.8,0,2.62
路虎, 揽胜极光, 2013款, 2.0T, 5门耀动版(进口),,,,2014, 6.0万公里, 到店服务,超值严选车,13.9,0,21.45
大众POLO, 2012款, 1.6L, Cross, POLO, MT,,,2013, 8.0万公里, 到店服务,严选车,51,0,3.69
东风风行, 景逸X5, 2015款, 1.6L, 手动尊享型,,,,2016, 1.9万公里, 到店服务,严选车,8.6,0,3.84
吉利, 帝豪GS, 2016款, 运动版, 1.8L, 手动领尚型,,,2017, 1.9万公里, 到店服务,严选车,13,1,5.26
斯柯达, 柯迪亚克, 2017款, TSI330, , 5座两驱舒适版,,,2018, 1.1万公里, 到店服务,严选车,31.3,0,15.44
起亚, 智跑, 2012款, 2.0L, 手动两驱版GL,,,,2012, 5.0万公里, 到店服务,严选车,16.3,0,5.58
大众, 宝来, 2014款, 1.6L, 自动时尚型,,,,2018, 0.9万公里, 到店服务,严选车,18.4,0,7.58
雪佛兰, 创酷, 2014款, 1.4T, 自动四驱旗舰型,,,,2014, 5.1万公里, 到店服务,严选车,6,1,5.68
现代, 名图, 2016款, 1.8L, 自动尊贵型DLX,,,,2016, 3.0万公里, 到店服务,严选车,9.2,0,9.77
别克, 凯越, 2013款, 1.5L, 手动尊享型,,,,2013, 6.1万公里, 到店服务,严选车,22.7,0,3.14
吉利, 博越, 2018款, 1.8TD, 自动两驱智尊型4G互联版,,,,2018, 0.6万公里, 到店服务,严选车,34.5,0,10.31
马自达3, 2010款, 1.6L, 手动经典时尚型,,,,,2010, 7.9万公里, 到店服务,严选车,26,1,2.87
五菱宏光, 2015款, 1.5L, S基本型, 国V,,,,2016, 5.9万公里, 到店服务,严选车,24.8,0,3.27
大众, 速腾, 2015款, 230TSI, 手动舒适型,,,,2016, 8.3万公里, 到店服务,严选车,35.8,0,7.5
海马M3, 2016款, 1.5L, 手动智能舒适型,,,,,2016, 4.1万公里, 到店服务,严选车,50.6,0,3.13
大众, 朗逸, 2013款, 改款经典, 1.6L, 手动风尚版,,,2014, 5.4万公里, 到店服务,严选车,8.7,0,5.2
日产, 骊威, 2010款, 劲悦版, 1.6L, 自动全能型,,,2011, 10.1万公里, 到店服务,严选车,12.6,0,3.27
斯柯达, 明锐, 2015款, 1.6L, 自动逸俊版,,,,2015, 3.7万公里, 到店服务,严选车,33.6,0,7.56
Jeep, 指南者, 2017款, 200T, 自动家享版,,,,2017, 2.1万公里, 到店服务,严选车,8.7,0,11.5
雪佛兰, 科鲁兹, 2015款, 1.5L, 经典, SL, MT,,2016, 7.7万公里, 到店服务,严选车,50.8,0,4.04
Smart, smart, fortwo, 2012款,1, MHD, 硬顶舒适版,,2014, 14.8万公里, 到店服务,严选车,10.7,0,4.46
凯迪拉克SRX, 2014款, 3.0L, 精英型(进口),,,,,2015, 4.8万公里, 到店服务,超值严选车,52.6,0,16.58
哈弗H7, 2016款, 蓝标H7, 2.0T, 自动精英型,,,,2016, 6.5万公里, 到店服务,严选车,12.4,1,8.06
现代, 瑞纳, 2010款, 三厢, 1.4L, 手动舒适型GS,,,2011, 3.9万公里, 到店服务,严选车,14,0,2.65
丰田, 卡罗拉, 2017款, 1.2T, CVT, GL,,,2017, 2.8万公里, 到店服务,严选车,15.1,0,8.71
三菱, 欧蓝德EX劲界, 2011款, 劲界,2.4, 时尚版(进口),,,2011, 6.9万公里, 到店服务,严选车,15.8,0,8.11
福特, 福克斯, 2015款, 两厢, EcoBoost,180, 自动精英型,,2016, 4.2万公里, 到店服务,超值严选车,10.8,0,7.51
本田, 杰德, 2013款, 1.8L, 自动舒适版, 5座,,,2014, 4.2万公里, 到店服务,严选车,8.5,1,8.48
马自达CX-5, 2013款, 2.0L, 手动两驱舒适型,,,,,2014, 4.7万公里, 到店服务,严选车,19.5,0,8.24
长安, 悦翔V7, 2016款, 1.6L, 手动乐尚型, 国V,,,2017, 2.2万公里, 到店服务,严选车,9.3,0,3.39
斯柯达, 昕锐, 2016款, 1.6L, 手动前行版,,,,2016, 2.4万公里, 到店服务,严选车,16.4,0,4.35
大众, 帕萨特, 2013款, 1.4TSI, DSG尊荣版,,,,2014, 4.4万公里, 到店服务,严选车,27.1,0,10.08
奔驰B级, 2012款, B, 200(进口),,,,,2014, 7.5万公里, 到店服务,超值严选车,10.8,0,13
本田CR-V, 2010款, 2.4L, 自动四驱豪华版,,,,,2011, 10.0万公里, 到店服务,严选车,10.7,0,8.36
雷诺, 科雷傲, 2016款, 2.0L, 两驱舒适版(进口),,,,2015, 3.0万公里, 到店服务,严选车,14.4,0,10.14
奥迪A4L, 2013款,35, TFSI, 自动舒适型,,,,2013, 1.0万公里, 到店服务,严选车,29.3,0,16.46
宝马5系, 2014款, 525Li, 领先型,,,,,2014, 3.7万公里, 到店服务,严选车,17.4,0,24.46
奇瑞, 艾瑞泽7, 2015款, 1.6L, 手动致尚版,,,,2015, 8.5万公里, 到店服务,准新车严选车,31.8,0,3.28
哈弗H6, 2013款, 升级版, 1.5T, 手动两驱精英型,,,,2014, 7.0万公里, 到店服务,严选车,15.6,0,4.3
大众, 途观, 2012款, 2.0TSI, 自动四驱旗舰版,,,,2012, 11.8万公里, 到店服务,超值严选车,19.5,0,10.14
长安, 逸动, 2014款, 1.6L, 手动豪华型,,,,2014, 2.2万公里, 到店服务,严选车,20.6,0,3.36
路虎, 发现神行, 2016款, 2.0T, HSE,,,,2016, 3.3万公里, 到店服务,严选车,28.1,0,23.8
起亚, 福瑞迪, 2012款, 1.6L, MT, GL, 纪念版,,2013, 5.8万公里, 到店服务,严选车,8.3,0,3.14
奔驰GLK级, 2015款, GLK,300, 4MATIC, 时尚型, 极致版,,2015, 10.5万公里, 到店服务,严选车,14.2,0,22.98
福特, 福克斯, 2015款, 两厢, 1.6L, 手动舒适型,,,2016, 4.4万公里, 到店服务,严选车,11.8,0,5.56
MG6, 2010款, 掀背, 1.8L, 手动贺岁版,,,,2011, 11.8万公里, 到店服务,严选车,38.4,0,2.67
马自达, 昂克赛拉, 2016款, 两厢, 1.5L, 自动豪华型,,,2016, 2.9万公里, 到店服务,严选车,20.3,0,8.94
日产, 轩逸, 2009款, 1.6XL, 自动豪华天窗版,,,,2011, 5.6万公里, 到店服务,严选车,22.7,0,5.2
福特, 福克斯, 2012款, 三厢, 1.6L, 手动风尚型,,,2014, 8.1万公里, 到店服务,严选车,46.7,1,4
荣威350, 2014款, 1.5L, 自动迅悦版,,,,,2014, 5.8万公里, 到店服务,严选车,6.9,0,3.66
荣威350, 2015款, 1.5L, 手动豪华天窗版,,,,,2015, 1.8万公里, 到店服务,严选车,16.8,0,3.59
Jeep, 指南者, 2017款, 200T, 自动家享版,,,,2017, 1.1万公里, 到店服务,严选车,48.3,0,11.2
起亚K2, 2015款, 三厢, 1.4L, AT, GLS,,,2016, 6.2万公里, 到店服务,严选车,45.6,0,4.7
别克, 英朗, 2017款, 18T, 双离合豪华型,,,,2017, 2.3万公里, 到店服务,严选车,6.8,0,8.2
现代, 全新胜达, 2013款, 2.4L, 自动两驱智能型,,,,2014, 5.8万公里, 到店服务,严选车,18.6,0,10.76
别克, 凯越, 2011款, 1.6LX-MT,,,,,2013, 7.7万公里, 到店服务,严选车,10.8,0,2.8
荣威350, 2011款, 350S, 1.5L, 自动迅达版,,,,2012, 11.4万公里, 到店服务,严选车,8.3,0,2.54
MG6, 2013款, 掀背, 1.8T, 手动GT超值版,,,,2013, 6.7万公里, 到店服务,严选车,16.3,0,3.69
奔驰GLA级, 2016款, GLA,200, 动感型,,,,2016, 7.4万公里, 到店服务,超值严选车,27.4,0,17.57
马自达, 昂克赛拉, 2016款, 两厢, 2.0L, 自动旗舰型,,,2016, 5.5万公里, 到店服务,严选车,14.6,0,10.14
本田UR-V, 2017款, 370TURBO, 四驱尊享版,,,,,2018, 2.0万公里, 店内直卖,严选车,16.4,0,24.95
福特, 福克斯, 2012款, 三厢, 1.6L, 自动风尚型,,,2013, 7.0万公里, 到店服务,严选车,8.6,0,5.16
现代, 索纳塔九, 2015款, 1.6T, GS时尚型,,,,2016, 5.9万公里, 到店服务,严选车,32.4,0,9.4
福特, 蒙迪欧, 2013款, 1.5L, GTDi180时尚型,,,,2014, 5.7万公里, 到店服务,严选车,16.9,0,9.27
MINI, Countryman, 2014款, 1.6L, ONE,,,,2014, 3.5万公里, 到店服务,严选车,12.5,0,12.93
吉利, 经典帝豪, 2013款, 两厢, 1.5L, 手动精英型,,,2014, 4.3万公里, 到店服务,严选车,8.9,0,2.84
福特, 福克斯, 2012款, 两厢, 1.6L, 自动舒适型,,,2014, 5.9万公里, 到店服务,严选车,10.5,0,5.32
雪佛兰, 科鲁兹, 2013款, 1.6L, SL, MT,,,2014, 7.3万公里, 到店服务,严选车,26,0,3.77
奔驰C级, 2015款, 改款, C,200, L,,,2015, 7.0万公里, 到店服务,严选车,10.5,0,23.2
雪佛兰, 科帕奇, 2015款, 2.4L, 两驱城市版, 7座,,,2016, 2.5万公里, 到店服务,严选车,9.2,0,10.01
别克GL8, 2014款, 2.4L, 经典版,,,,,2016, 3.8万公里, 到店服务,严选车,27.1,0,12.33
福特, 锐界, 2015款, 2.7T, GTDi, 四驱尊锐型, 7座,,2015, 2.2万公里, 到店服务,严选车,25.6,0,22.46
MG3, 2014款, 1.3L, 手动舒适版,,,,,2014, 2.7万公里, 到店服务,严选车,11.8,0,2.58
别克, 威朗, 2017款, 三厢, 15S, 自动领先型,,,2017, 3.4万公里, 到店服务,严选车,12.2,0,8.72
奔驰GLC级, 2017款, GLC,260, 4MATIC, 豪华型,,,2016, 1.5万公里, 到店服务,准新车严选车,30,0,33.8
凯迪拉克XT5, 2016款, 28T, 四驱豪华型,,,,,2016, 7.5万公里, 到店服务,严选车,14,0,24.04
奇瑞, 艾瑞泽3, 2015款, 1.5L, 手动够劲版,,,,2015, 5.7万公里, 到店服务,严选车,22,0,2.59
哈弗H6, Coupe, 2015款, 蓝标, 2.0T, 自动两驱尊贵型,,,2016, 5.9万公里, 到店服务,严选车,8.7,0,8.11
日产, 轩逸, 2016款, 经典, 1.6XE, 手动舒适版,,,2017, 6.1万公里, 到店服务,严选车,25.4,0,6
雪佛兰, 科鲁兹, 2012款, 1.6L, SE, MT,,,2012, 10.2万公里, 到店服务,严选车,19.2,1,2.9
雪佛兰, 科鲁兹, 2015款, 1.5L, 经典, SE, AT,,2015, 3.1万公里, 到店服务,严选车,20.9,1,5.31
吉利, 帝豪, 2016款, 两厢RS, 1.5L, 手动向上版,,,2016, 3.4万公里, 到店服务,严选车,8.5,0,3.76
别克, 昂科拉, 2017款, 18T, 自动两驱都市领先型,,,,2017, 3.1万公里, 店内直卖,严选车,6.2,0,7.93
福特, 蒙迪欧, 2013款, 2.0L, GTDi240至尊型,,,,2016, 2.5万公里, 到店服务,严选车,22,0,12.88
福特, 福克斯, 2009款, 两厢, 1.8L, 自动时尚型,,,2009, 6.8万公里, 店内直卖,严选车,5.4,0,2.87
大众, 速腾, 2015款, 1.6L, 自动舒适型,,,,2016, 2.9万公里, 到店服务,严选车,10.8,0,9.17
现代, 瑞纳, 2010款, 三厢, 1.4L, 手动舒适型GS,,,2013, 7.7万公里, 到店服务,,12.1,0,2.87
丰田, 汉兰达, 2012款, 2.7L, 两驱7座豪华版,,,,2014, 3.2万公里, 到店服务,超值严选车,34.7,0,18.97
奔腾B70, 2010款, 2.0L, 自动豪华型,,,,,2011, 9.4万公里, 到店服务,严选车,51.6,0,3.22
荣威350, 2010款, 350C, 1.5L, 自动迅逸版,,,,2011, 3.0万公里, 到店服务,严选车,6.2,0,3.21
雪佛兰, 爱唯欧, 2011款, 三厢, 1.4L, MT, SL,,2013, 2.2万公里, 到店服务,严选车,31.7,0,3.14
雪佛兰, 爱唯欧, 2013款, 三厢, 1.4L, AT, 天窗版,,2014, 3.0万公里, 到店服务,急售,12.6,0,4.2
